Time (s)	Measurement (V)	Error (V)
2.196501015498752984e-02	8.968498488691432513e+00	1.000000000000000000e+01
4.008301476749267511e-01	1.313244806570276957e+01	1.000000000000000000e+01
5.446777248138289229e-01	2.779831302821126116e+01	1.000000000000000000e+01
9.030674991291780529e-01	4.761077897008670590e+01	1.000000000000000000e+01
1.074034538153943563e+00	3.884909003285439155e+01	1.000000000000000000e+01
1.479851494916922139e+00	4.533075146939087574e+01	1.000000000000000000e+01
1.492721930044295764e+00	6.287442651596794718e+01	1.000000000000000000e+01
1.775202045112185933e+00	4.747965429270780646e+01	1.000000000000000000e+01
1.801838365123690666e+00	3.256849814075236793e+01	1.000000000000000000e+01
1.847474016160938648e+00	3.763822613242049187e+01	1.000000000000000000e+01
2.127253450886003705e+00	5.488609714675277473e+01	1.000000000000000000e+01
2.562911293625702580e+00	4.357036859994364875e+01	1.000000000000000000e+01
2.865939719243482564e+00	2.228843894048559093e+01	1.000000000000000000e+01
3.498270446846976967e+00	-1.274415175292264379e+01	1.000000000000000000e+01
3.645493073280181129e+00	-2.297198444422442520e+01	1.000000000000000000e+01
4.235520114079682763e+00	-4.744580202821698123e+01	1.000000000000000000e+01
4.240880317454979398e+00	-4.446170612145787970e+01	1.000000000000000000e+01
4.268096165348778115e+00	-3.779053421759826392e+01	1.000000000000000000e+01
4.306063047433369206e+00	-4.012129623004251755e+01	1.000000000000000000e+01
4.335323569487716355e+00	-2.947948512766318885e+01	1.000000000000000000e+01
4.408273191735728069e+00	-4.579666629138390732e+01	1.000000000000000000e+01
4.583723772714198397e+00	-6.414068407882237466e+01	1.000000000000000000e+01
4.780289948666738731e+00	-6.359504973815929674e+01	1.000000000000000000e+01
5.648389232563223672e+00	-4.225147261440588409e+01	1.000000000000000000e+01
6.031931634896888106e+00	-9.158624094945793104e+00	1.000000000000000000e+01
7.329302146002408591e+00	4.286395470768157168e+01	1.000000000000000000e+01
8.329389061694751462e+00	4.750460439690306913e+01	1.000000000000000000e+01
8.430210247815582036e+00	5.234801085581881352e+01	1.000000000000000000e+01
9.082342641702911834e+00	1.791523391585198155e+01	1.000000000000000000e+01
9.083207915182139658e+00	2.034274451298018249e+01	1.000000000000000000e+01
9.126592871143873964e+00	6.125680731495330988e+00	1.000000000000000000e+01
9.206866734170912281e+00	1.957941476941300607e+00	1.000000000000000000e+01
9.233950698105839905e+00	1.309789127849138346e+01	1.000000000000000000e+01
9.402396308005123160e+00	1.535187443039304434e+00	1.000000000000000000e+01
9.739879105787974112e+00	-9.440381077299377921e-01	1.000000000000000000e+01
1.058945270096682378e+01	-6.099727457686728371e+01	1.000000000000000000e+01
1.067530217322192598e+01	-5.925032512877456270e+01	1.000000000000000000e+01
1.086453714458059849e+01	-4.580664395405557343e+01	1.000000000000000000e+01
1.176329430558731204e+01	-4.231834965559732353e+01	1.000000000000000000e+01
1.219836339498281497e+01	-2.671085626618555153e+01	1.000000000000000000e+01
1.235709945472038385e+01	-3.808236612421940492e+01	1.000000000000000000e+01
1.315599812131463331e+01	2.463807605330816841e+01	1.000000000000000000e+01
1.323218422787713244e+01	4.125517413467022720e+01	1.000000000000000000e+01
1.326149530104009600e+01	2.727375333434109450e+01	1.000000000000000000e+01
1.371781455972750940e+01	5.729912486551859985e+01	1.000000000000000000e+01
1.428143234328980782e+01	3.936047880971558044e+01	1.000000000000000000e+01
1.435932269118367799e+01	6.273780953769946223e+01	1.000000000000000000e+01
1.442782197525891874e+01	5.111024086552938428e+01	1.000000000000000000e+01
1.459713115384903581e+01	4.480776877664794711e+01	1.000000000000000000e+01
1.484140942402578034e+01	4.434670424531073962e+01	1.000000000000000000e+01
1.508048290357533006e+01	1.003280960866025140e+01	1.000000000000000000e+01
1.561203314133128472e+01	6.050013090629156487e+00	1.000000000000000000e+01
1.576146126479036802e+01	-4.366650935678402234e+00	1.000000000000000000e+01
1.579736941646201309e+01	-1.615888507437643540e+01	1.000000000000000000e+01
1.624957644677601465e+01	-3.296123598397865351e+01	1.000000000000000000e+01
1.642780969521553303e+01	-3.577079875929180730e+01	1.000000000000000000e+01
1.648856667522869657e+01	-3.117887669212202439e+01	1.000000000000000000e+01
